# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Oct 31 13:32:08 2019
#
# User preference: *
#
# CONSTRAINT:  where (pl_bmassjstr not null)
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_bmassj:      Planet Mass or M*sin(i) [Jupiter mass]
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN st_dist:        Distance [pc]
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_facility:    Discovery Facility
#
loc_rowid,pl_name,pl_discmethod,pl_bmassj,pl_radj,st_dist,rowupdate,pl_facility
335,HATS-64 b,Transit,0.96000,1.679,1083.00,2019-01-17,HATSouth
336,HATS-65 b,Transit,0.82100,1.501,495.00,2019-01-17,HATSouth
337,HATS-66 b,Transit,5.33000,1.411,1538.00,2019-01-17,HATSouth
338,HATS-67 b,Transit,1.45000,1.685,982.00,2019-01-17,HATSouth
339,HATS-68 b,Transit,1.29000,1.232,618.20,2019-01-17,HATSouth
340,HATS-69 b,Transit,0.57700,0.945,420.30,2019-01-17,HATSouth
341,HATS-7 b,Transit,0.12000,0.563,257.00,2018-05-24,HATSouth
342,HATS-70 b,Transit,12.90000,1.384,1307.00,2019-02-14,HATSouth
343,HATS-8 b,Transit,0.13800,0.873,829.00,2015-06-17,HATSouth
346,HD 100655 b,Radial Velocity,1.61000,,137.72,2018-09-06,Bohyunsan Optical Astronomical Observatory
347,HD 100777 b,Radial Velocity,1.03000,,49.60,2018-09-06,La Silla Observatory
348,HD 10180 c,Radial Velocity,0.04160,,39.00,2015-06-25,La Silla Observatory
349,HD 10180 d,Radial Velocity,0.03780,,39.00,2015-06-25,La Silla Observatory
350,HD 10180 e,Radial Velocity,0.08050,,39.00,2015-06-25,La Silla Observatory
351,HD 10180 f,Radial Velocity,0.07220,,39.00,2015-06-25,La Silla Observatory
352,HD 10180 g,Radial Velocity,0.07320,,39.00,2015-06-25,La Silla Observatory
353,HD 10180 h,Radial Velocity,0.20660,,39.00,2015-06-25,La Silla Observatory
354,HD 101930 b,Radial Velocity,0.25000,,30.05,2018-09-06,La Silla Observatory
355,HD 102117 b,Radial Velocity,0.17000,,39.62,2018-09-06,La Silla Observatory
356,HD 102195 b,Radial Velocity,0.41000,,29.36,2018-09-06,Kitt Peak National Observatory
357,HD 102272 b,Radial Velocity,4.94000,,350.01,2018-09-06,McDonald Observatory
358,HD 102329 b,Radial Velocity,8.16000,,218.42,2018-09-06,W. M. Keck Observatory
359,HD 102329 c,Radial Velocity,1.52000,,218.42,2018-11-29,W. M. Keck Observatory
360,HD 102365 b,Radial Velocity,0.05000,,9.29,2014-05-14,Anglo-Australian Telescope
361,HD 102843 b,Radial Velocity,0.35837,,62.87,2019-05-23,Las Campanas Observatory
362,HD 102956 b,Radial Velocity,0.96000,,122.32,2018-12-06,W. M. Keck Observatory
363,HD 103197 b,Radial Velocity,0.09000,,57.24,2018-09-06,La Silla Observatory
364,HD 103720 b,Radial Velocity,0.62000,,41.60,2015-01-08,La Silla Observatory
365,HD 103774 b,Radial Velocity,0.36700,,56.50,2014-05-14,La Silla Observatory
366,HD 103949 b,Radial Velocity,0.03524,,26.52,2019-05-23,Las Campanas Observatory
367,HD 104067 b,Radial Velocity,0.16000,,20.38,2018-09-06,La Silla Observatory
368,HD 10442 b,Radial Velocity,1.48700,,135.89,2018-12-06,W. M. Keck Observatory
369,HD 104985 b,Radial Velocity,8.30000,,100.86,2014-05-14,Okayama Astrophysical Observatory
370,HD 106252 b,Radial Velocity,6.93000,,38.23,2018-09-06,Lick Observatory
371,HD 106270 b,Radial Velocity,10.13000,,94.06,2018-12-06,W. M. Keck Observatory
372,HD 106315 b,Transit,0.03964,0.218,109.00,2019-07-25,K2
373,HD 106315 c,Transit,0.04782,0.388,109.00,2019-07-25,K2
374,HD 10647 b,Radial Velocity,0.94000,,17.34,2014-05-14,W. M. Keck Observatory
375,HD 106515 A b,Radial Velocity,9.61000,,34.12,2014-05-14,La Silla Observatory
376,HD 106906 b,Imaging,11.00000,,103.33,2014-05-14,Las Campanas Observatory
377,HD 10697 b,Radial Velocity,6.38300,,33.15,2018-12-06,W. M. Keck Observatory
378,HD 107148 b,Radial Velocity,0.21000,,49.49,2014-05-14,W. M. Keck Observatory
379,HD 108147 b,Radial Velocity,0.26100,,38.96,2014-05-14,La Silla Observatory
380,HD 108341 b,Radial Velocity,3.50000,,49.40,2015-01-08,La Silla Observatory
381,HD 108863 b,Radial Velocity,2.41400,,165.52,2018-12-06,W. M. Keck Observatory
382,HD 108874 b,Radial Velocity,1.42000,,59.62,2018-09-06,W. M. Keck Observatory
383,HD 108874 c,Radial Velocity,0.99000,,59.62,2014-05-14,W. M. Keck Observatory
384,HD 109246 b,Radial Velocity,0.86000,,67.97,2018-09-06,Haute-Provence Observatory
385,HD 109271 b,Radial Velocity,0.05400,,55.96,2014-05-14,La Silla Observatory
386,HD 109271 c,Radial Velocity,0.07600,,55.96,2014-05-14,La Silla Observatory
387,HD 109749 b,Radial Velocity,0.27000,,63.20,2018-09-27,W. M. Keck Observatory
388,HD 110014 b,Radial Velocity,11.09000,,100.98,2014-05-14,La Silla Observatory
389,HD 111232 b,Radial Velocity,7.14000,,28.98,2018-09-06,La Silla Observatory
390,HD 111591 b,Radial Velocity,4.40000,,114.54,2017-11-30,Multiple Observatories
391,HD 111998 b,Radial Velocity,4.51000,,33.26,2016-09-08,La Silla Observatory
392,HD 113337 b,Radial Velocity,2.83000,,36.22,2014-05-14,Haute-Provence Observatory
393,HD 113538 b,Radial Velocity,0.36000,,15.90,2015-01-08,La Silla Observatory
394,HD 113538 c,Radial Velocity,0.93000,,15.90,2015-01-08,La Silla Observatory
395,HD 113996 b,Radial Velocity,6.30000,,116.34,2017-11-30,Bohyunsan Optical Astronomical Observatory
396,HD 114386 b,Radial Velocity,1.14000,,27.95,2018-09-06,La Silla Observatory
397,HD 114613 b,Radial Velocity,0.35700,,20.29,2018-12-06,Anglo-Australian Telescope
398,HD 114729 b,Radial Velocity,0.82500,,37.85,2019-06-27,W. M. Keck Observatory
399,HD 114762 b,Radial Velocity,10.69000,,40.23,2018-09-06,Oak Ridge Observatory
400,HD 114783 b,Radial Velocity,1.10000,,20.40,2014-05-14,W. M. Keck Observatory
401,HD 114783 c,Radial Velocity,0.61100,,20.40,2018-11-29,W. M. Keck Observatory
402,HD 11506 b,Radial Velocity,4.83000,,51.34,2018-09-27,W. M. Keck Observatory
403,HD 11506 c,Radial Velocity,0.40800,,51.34,2018-09-27,W. M. Keck Observatory
404,HD 116029 b,Radial Velocity,1.40000,,123.68,2018-09-06,W. M. Keck Observatory
405,HD 116029 c,Radial Velocity,1.27000,,123.68,2018-11-29,W. M. Keck Observatory
406,HD 117207 b,Radial Velocity,1.92600,,32.38,2019-06-27,W. M. Keck Observatory
407,HD 11755 b,Radial Velocity,5.63000,,236.64,2018-09-06,Bohyunsan Optical Astronomical Observatory
408,HD 117618 b,Radial Velocity,0.17400,,37.82,2019-03-14,Anglo-Australian Telescope
409,HD 118203 b,Radial Velocity,2.79000,,92.51,2018-09-06,Haute-Provence Observatory
410,HD 119130 b,Transit,0.07709,0.235,114.29,2019-02-07,Kepler
411,HD 11964 b,Radial Velocity,0.62200,,33.57,2019-01-31,W. M. Keck Observatory
412,HD 11964 c,Radial Velocity,0.07880,,33.57,2019-01-31,W. M. Keck Observatory
413,HD 11977 b,Radial Velocity,6.54000,,68.05,2019-01-31,La Silla Observatory
414,HD 120084 b,Radial Velocity,4.50000,,103.35,2014-05-14,Okayama Astrophysical Observatory
415,HD 121504 b,Radial Velocity,1.51000,,41.71,2018-09-06,La Silla Observatory
416,HD 12484 b,Radial Velocity,2.98000,,51.10,2016-02-25,Haute-Provence Observatory
417,HD 125595 b,Radial Velocity,0.02000,,28.22,2018-09-06,La Silla Observatory
418,HD 125612 b,Radial Velocity,3.10000,,57.72,2018-09-27,W. M. Keck Observatory
419,HD 125612 c,Radial Velocity,0.05500,,57.72,2018-09-27,La Silla Observatory
420,HD 125612 d,Radial Velocity,7.28000,,57.72,2018-09-27,La Silla Observatory
421,HD 12648 b,Radial Velocity,1.96000,,183.15,2018-09-06,Bohyunsan Optical Astronomical Observatory
422,HD 126525 b,Radial Velocity,0.23700,,37.69,2019-06-27,La Silla Observatory
423,HD 12661 b,Radial Velocity,2.43000,,37.89,2018-09-06,Multiple Observatories
424,HD 12661 c,Radial Velocity,1.81200,,37.89,2014-11-19,Multiple Observatories
425,HD 126614 b,Radial Velocity,0.41000,,73.25,2018-09-06,W. M. Keck Observatory
426,HD 128311 b,Radial Velocity,1.76900,,16.52,2015-06-25,W. M. Keck Observatory
427,HD 128311 c,Radial Velocity,3.78900,,16.52,2015-06-25,W. M. Keck Observatory
428,HD 128356 b,Radial Velocity,0.89000,,26.03,2016-11-10,Multiple Observatories
429,HD 129445 b,Radial Velocity,1.60000,,67.57,2019-01-31,Las Campanas Observatory
430,HD 130322 b,Radial Velocity,1.15000,,31.91,2015-02-19,La Silla Observatory
431,HD 131496 b,Radial Velocity,1.80000,,132.34,2018-12-06,W. M. Keck Observatory
432,HD 131664 b,Radial Velocity,19.12000,,52.89,2018-09-06,La Silla Observatory
433,HD 13167 b,Radial Velocity,3.31000,,149.57,2018-12-06,W. M. Keck Observatory
434,HD 13189 b,Radial Velocity,10.95000,,504.71,2018-09-06,Thueringer Landessternwarte Tautenburg
435,HD 132406 b,Radial Velocity,5.38000,,70.93,2018-09-06,Haute-Provence Observatory
436,HD 132563 b,Radial Velocity,1.49000,,105.47,2019-01-31,Roque de los Muchachos Observatory
437,HD 133131 A b,Radial Velocity,1.42000,,47.00,2016-09-08,Las Campanas Observatory
438,HD 133131 A c,Radial Velocity,0.42000,,47.00,2016-09-08,Las Campanas Observatory
439,HD 133131 B b,Radial Velocity,2.50000,,47.00,2016-09-08,Las Campanas Observatory
440,HD 134060 b,Radial Velocity,0.03180,,24.20,2019-02-07,La Silla Observatory
441,HD 134060 c,Radial Velocity,0.09220,,24.20,2019-02-07,La Silla Observatory
442,HD 134987 b,Radial Velocity,1.61000,,26.20,2018-09-06,W. M. Keck Observatory
443,HD 134987 c,Radial Velocity,0.82000,,26.20,2019-01-31,Multiple Observatories
444,HD 136352 b,Radial Velocity,0.01510,,14.81,2019-02-07,La Silla Observatory
445,HD 136352 c,Radial Velocity,0.03400,,14.81,2019-02-07,La Silla Observatory
446,HD 136352 d,Radial Velocity,0.02700,,14.81,2019-02-07,La Silla Observatory
447,HD 136418 b,Radial Velocity,2.14000,,105.49,2018-09-06,W. M. Keck Observatory
448,HD 13724 b,Radial Velocity,26.77000,,43.52,2019-04-11,La Silla Observatory
449,HD 137388 b,Radial Velocity,0.20000,,40.53,2018-09-06,La Silla Observatory
450,HD 13908 b,Radial Velocity,0.86500,,79.73,2014-05-14,Haute-Provence Observatory
451,HD 13908 c,Radial Velocity,5.13000,,79.73,2014-05-14,Haute-Provence Observatory
452,HD 13931 b,Radial Velocity,2.20000,,47.46,2018-09-06,W. M. Keck Observatory
453,HD 139357 b,Radial Velocity,9.76000,,112.45,2019-01-31,Thueringer Landessternwarte Tautenburg
454,HD 1397 b,Transit,0.41500,1.026,79.75,2019-07-25,Transiting Exoplanet Survey Satellite (TESS)
455,HD 14067 b,Radial Velocity,7.80000,,142.60,2014-09-25,Okayama Astrophysical Observatory
456,HD 141399 b,Radial Velocity,0.45100,,36.20,2016-02-25,Multiple Observatories
457,HD 141399 c,Radial Velocity,1.33000,,36.20,2016-02-25,Multiple Observatories
458,HD 141399 d,Radial Velocity,1.18000,,36.20,2016-02-25,Multiple Observatories
459,HD 141399 e,Radial Velocity,0.66000,,36.20,2016-02-25,Multiple Observatories
460,HD 141937 b,Radial Velocity,9.69000,,33.39,2018-09-06,La Silla Observatory
461,HD 142 b,Radial Velocity,1.25000,,26.21,2014-08-21,Anglo-Australian Telescope
462,HD 142 c,Radial Velocity,5.30000,,26.21,2014-08-21,Anglo-Australian Telescope
463,HD 142022 A b,Radial Velocity,4.44000,,34.31,2018-09-06,La Silla Observatory
464,HD 142245 b,Radial Velocity,3.07000,,97.50,2018-09-06,W. M. Keck Observatory
465,HD 142415 b,Radial Velocity,1.67000,,35.57,2018-09-06,La Silla Observatory
466,HD 143105 b,Radial Velocity,1.21000,,48.70,2016-02-25,Haute-Provence Observatory
467,HD 143361 b,Radial Velocity,3.53200,,68.65,2019-06-27,Las Campanas Observatory
468,HD 145377 b,Radial Velocity,6.02000,,53.57,2018-09-06,La Silla Observatory
469,HD 145457 b,Radial Velocity,2.23000,,135.82,2018-09-06,Subaru Telescope
470,HD 145934 b,Radial Velocity,2.28000,,229.35,2015-01-08,W. M. Keck Observatory
471,HD 1461 b,Radial Velocity,0.02026,,23.47,2015-11-19,W. M. Keck Observatory
472,HD 1461 c,Radial Velocity,0.01759,,23.47,2015-11-19,La Silla Observatory
473,HD 147018 b,Radial Velocity,2.12000,,42.96,2019-01-31,La Silla Observatory
474,HD 147018 c,Radial Velocity,6.56000,,42.96,2019-01-31,La Silla Observatory
475,HD 147379 b,Radial Velocity,0.08983,,10.77,2018-11-08,Calar Alto Observatory
476,HD 147513 b,Radial Velocity,1.21000,,12.91,2019-01-31,La Silla Observatory
477,HD 14787 b,Radial Velocity,1.12100,,119.54,2018-12-06,W. M. Keck Observatory
478,HD 147873 b,Radial Velocity,5.14000,,109.38,2016-11-10,Multiple Observatories
479,HD 147873 c,Radial Velocity,2.30000,,109.38,2016-11-10,Multiple Observatories
480,HD 148156 b,Radial Velocity,0.85000,,57.22,2019-01-31,La Silla Observatory
481,HD 148164 b,Radial Velocity,1.23000,,77.37,2018-09-27,W. M. Keck Observatory
482,HD 148164 c,Radial Velocity,5.16000,,77.37,2018-09-27,W. M. Keck Observatory
483,HD 148284 b,Radial Velocity,33.70000,,121.61,2018-09-27,W. M. Keck Observatory
484,HD 148427 b,Radial Velocity,1.30000,,71.50,2018-09-06,Lick Observatory
485,HD 149026 b,Radial Velocity,0.38000,0.740,76.03,2018-04-26,Subaru Telescope
486,HD 149143 b,Radial Velocity,1.33000,,73.43,2018-09-27,Haute-Provence Observatory
487,HD 1502 b,Radial Velocity,2.75000,,191.96,2018-12-06,W. M. Keck Observatory
488,HD 150706 b,Radial Velocity,2.71000,,28.29,2014-07-23,Haute-Provence Observatory
489,HD 152079 b,Radial Velocity,2.66100,,88.11,2019-06-27,Las Campanas Observatory
490,HD 152581 b,Radial Velocity,1.86900,,166.54,2018-12-06,W. M. Keck Observatory
491,HD 15337 b,Transit,0.02363,0.146,44.87,2019-05-16,Transiting Exoplanet Survey Satellite (TESS)
492,HD 15337 c,Transit,0.02552,0.213,44.87,2019-05-16,Transiting Exoplanet Survey Satellite (TESS)
493,HD 153950 b,Radial Velocity,2.95000,,48.52,2018-09-06,La Silla Observatory
494,HD 154345 b,Radial Velocity,0.82000,,18.29,2018-09-06,W. M. Keck Observatory
495,HD 154672 b,Radial Velocity,5.37000,,63.16,2018-09-06,Las Campanas Observatory
496,HD 154857 b,Radial Velocity,2.45000,,63.56,2018-09-06,Anglo-Australian Telescope
497,HD 154857 c,Radial Velocity,2.58000,,63.56,2014-05-14,Anglo-Australian Telescope
498,HD 155233 b,Radial Velocity,2.60000,,75.13,2016-03-17,Anglo-Australian Telescope
499,HD 155358 b,Radial Velocity,0.99000,,43.67,2018-09-06,McDonald Observatory
500,HD 155358 c,Radial Velocity,0.82000,,43.67,2019-01-31,McDonald Observatory
501,HD 156279 b,Radial Velocity,9.88000,,36.23,2018-09-06,Haute-Provence Observatory
502,HD 156279 c,Radial Velocity,8.60000,,36.23,2018-11-29,W. M. Keck Observatory
503,HD 156411 b,Radial Velocity,0.74000,,56.96,2014-06-25,La Silla Observatory
504,HD 156668 b,Radial Velocity,0.01300,,24.35,2019-01-31,W. M. Keck Observatory
505,HD 156846 b,Radial Velocity,10.67000,,47.80,2018-09-06,La Silla Observatory
506,HD 158038 b,Radial Velocity,1.53000,,95.12,2018-09-06,W. M. Keck Observatory
507,HD 158996 b,Radial Velocity,14.00000,,285.91,2018-04-12,Bohyunsan Optical Astronomical Observatory
508,HD 159243 b,Radial Velocity,1.13000,,73.46,2014-05-14,Haute-Provence Observatory
509,HD 159243 c,Radial Velocity,1.90000,,73.46,2014-05-14,Haute-Provence Observatory
510,HD 159868 b,Radial Velocity,2.21800,,55.94,2018-12-06,Anglo-Australian Telescope
511,HD 159868 c,Radial Velocity,0.76800,,55.94,2018-12-06,Anglo-Australian Telescope
512,HD 1605 b,Radial Velocity,0.93400,,89.03,2018-09-27,Multiple Observatories
513,HD 1605 c,Radial Velocity,3.62000,,89.03,2018-09-27,Multiple Observatories
514,HD 160691 b,Radial Velocity,1.67600,,15.61,2019-03-28,Anglo-Australian Telescope
515,HD 160691 c,Radial Velocity,1.81400,,15.61,2014-08-21,Anglo-Australian Telescope
516,HD 160691 d,Radial Velocity,0.03321,,15.61,2014-08-21,La Silla Observatory
517,HD 160691 e,Radial Velocity,0.52190,,15.61,2014-08-21,La Silla Observatory
518,HD 16141 b,Radial Velocity,0.26000,,37.83,2018-09-06,W. M. Keck Observatory
519,HD 16175 b,Radial Velocity,5.10000,,59.96,2018-09-06,Lick Observatory
520,HD 162020 b,Radial Velocity,9.84000,,30.85,2018-09-06,La Silla Observatory
521,HD 163607 b,Radial Velocity,0.78360,,67.92,2018-12-06,W. M. Keck Observatory
522,HD 163607 c,Radial Velocity,2.20100,,67.92,2018-12-06,W. M. Keck Observatory
523,HD 16417 b,Radial Velocity,0.06960,,25.41,2019-01-31,Anglo-Australian Telescope
524,HD 164509 b,Radial Velocity,0.44300,,53.19,2018-09-27,W. M. Keck Observatory
525,HD 164595 b,Radial Velocity,0.05078,,28.28,2015-09-10,Haute-Provence Observatory
526,HD 164604 b,Radial Velocity,1.99792,,39.41,2019-05-23,Las Campanas Observatory
527,HD 164922 b,Radial Velocity,0.31000,,22.02,2018-09-06,W. M. Keck Observatory
528,HD 164922 c,Radial Velocity,0.04059,,22.02,2016-10-27,Multiple Observatories
529,HD 165155 b,Radial Velocity,2.89000,,63.47,2016-11-10,Multiple Observatories
530,HD 1666 b,Radial Velocity,6.43000,,118.31,2015-04-01,Multiple Observatories
531,HD 166724 b,Radial Velocity,3.53000,,45.19,2014-05-14,La Silla Observatory
532,HD 167042 b,Radial Velocity,1.70000,,49.73,2014-05-14,Lick Observatory
533,HD 168443 b,Radial Velocity,7.65900,,39.67,2014-06-25,W. M. Keck Observatory
534,HD 168443 c,Radial Velocity,17.19300,,39.67,2015-02-05,W. M. Keck Observatory
535,HD 168746 b,Radial Velocity,0.27000,,41.62,2018-09-06,La Silla Observatory
536,HD 1690 b,Radial Velocity,8.79000,,769.37,2018-09-06,La Silla Observatory
537,HD 169830 b,Radial Velocity,2.88000,,37.64,2014-06-25,La Silla Observatory
538,HD 169830 c,Radial Velocity,4.04000,,37.64,2014-06-25,La Silla Observatory
539,HD 170469 b,Radial Velocity,0.66000,,60.28,2018-09-06,W. M. Keck Observatory
540,HD 17092 b,Radial Velocity,10.13000,,229.89,2018-09-06,McDonald Observatory
541,HD 171028 b,Radial Velocity,2.62000,,112.01,2018-09-06,La Silla Observatory
542,HD 171238 b,Radial Velocity,2.72000,,44.87,2018-09-27,La Silla Observatory
543,HD 17156 b,Radial Velocity,3.51000,1.100,78.26,2018-04-26,Subaru Telescope
544,HD 173416 b,Radial Velocity,2.70000,,132.68,2014-07-09,Xinglong Station
545,HD 175167 b,Radial Velocity,8.97000,,71.23,2018-09-06,Las Campanas Observatory
546,HD 175541 b,Radial Velocity,0.59800,,130.08,2018-12-06,W. M. Keck Observatory
547,HD 175607 b,Radial Velocity,0.02825,,40.38,2015-11-19,La Silla Observatory
548,HD 17674 b,Radial Velocity,0.87000,,44.48,2017-03-02,Haute-Provence Observatory
549,HD 176986 b,Radial Velocity,0.01806,,27.81,2017-12-21,Multiple Observatories
550,HD 176986 c,Radial Velocity,0.02888,,27.81,2017-12-21,Multiple Observatories
551,HD 177565 b,Radial Velocity,0.04751,,16.93,2017-06-15,La Silla Observatory
552,HD 177830 b,Radial Velocity,1.69000,,62.88,2018-09-06,W. M. Keck Observatory
553,HD 177830 c,Radial Velocity,0.15000,,62.88,2019-01-31,W. M. Keck Observatory
554,HD 178911 B b,Radial Velocity,8.03000,,41.02,2018-09-06,W. M. Keck Observatory
555,HD 179079 b,Radial Velocity,0.08100,,69.85,2018-09-27,W. M. Keck Observatory
556,HD 179949 b,Radial Velocity,0.91600,,27.48,2014-07-09,Anglo-Australian Telescope
557,HD 180053 b,Radial Velocity,2.19400,,137.59,2018-12-06,W. M. Keck Observatory
558,HD 18015 b,Radial Velocity,3.18000,,124.24,2018-12-06,W. M. Keck Observatory
559,HD 180314 b,Radial Velocity,20.13000,,122.79,2018-09-06,Subaru Telescope
560,HD 180617 b,Radial Velocity,0.03839,,5.91,2019-06-13,Calar Alto Observatory
561,HD 180902 b,Radial Velocity,1.68500,,104.89,2018-12-06,W. M. Keck Observatory
562,HD 181234 b,Radial Velocity,8.37000,,47.81,2019-04-11,La Silla Observatory
563,HD 181342 b,Radial Velocity,2.54000,,120.81,2018-12-06,W. M. Keck Observatory
564,HD 181433 b,Radial Velocity,0.02000,,26.90,2018-09-06,La Silla Observatory
565,HD 181433 c,Radial Velocity,0.64000,,26.90,2014-07-23,La Silla Observatory
566,HD 181433 d,Radial Velocity,0.54000,,26.90,2014-07-23,La Silla Observatory
567,HD 181720 b,Radial Velocity,0.40000,,60.31,2018-09-06,La Silla Observatory
568,HD 183263 b,Radial Velocity,3.95000,,54.28,2018-09-06,W. M. Keck Observatory
569,HD 183263 c,Radial Velocity,3.57000,,54.28,2014-07-23,W. M. Keck Observatory
570,HD 185269 b,Radial Velocity,1.01000,,52.07,2018-12-06,Lick Observatory
571,HD 187085 b,Radial Velocity,0.83600,,45.96,2019-06-27,Anglo-Australian Telescope
572,HD 187123 b,Radial Velocity,0.52300,,46.02,2014-07-23,W. M. Keck Observatory
573,HD 187123 c,Radial Velocity,1.99000,,46.02,2014-07-23,W. M. Keck Observatory
574,HD 18742 b,Radial Velocity,3.40000,,163.37,2018-12-06,W. M. Keck Observatory
575,HD 188015 b,Radial Velocity,1.50000,,50.74,2014-07-23,W. M. Keck Observatory
576,HD 189733 b,Radial Velocity,1.13000,1.130,19.78,2018-12-06,Haute-Provence Observatory
577,HD 190360 b,Radial Velocity,1.54000,,16.01,2018-09-06,Haute-Provence Observatory
578,HD 190360 c,Radial Velocity,0.06000,,16.01,2014-08-21,W. M. Keck Observatory
579,HD 190647 b,Radial Velocity,1.98500,,54.56,2019-06-27,La Silla Observatory
580,HD 190984 b,Radial Velocity,3.10000,,148.81,2014-08-21,La Silla Observatory
581,HD 191806 b,Radial Velocity,8.52000,,65.79,2016-05-19,Haute-Provence Observatory
582,HD 192263 b,Radial Velocity,0.56000,,19.65,2018-09-06,La Silla Observatory
583,HD 192310 b,Radial Velocity,0.05320,,8.80,2015-07-02,La Silla Observatory
584,HD 192310 c,Radial Velocity,0.07600,,8.80,2015-07-02,La Silla Observatory
585,HD 192699 b,Radial Velocity,2.09600,,72.01,2018-12-06,Lick Observatory
586,HD 195019 b,Radial Velocity,3.98000,,37.71,2018-09-06,Lick Observatory
587,HD 196050 b,Radial Velocity,3.18000,,50.75,2018-09-06,Anglo-Australian Telescope
588,HD 196067 b,Radial Velocity,6.90000,,39.98,2014-05-14,La Silla Observatory
589,HD 196885 b,Radial Velocity,2.58000,,34.20,2014-08-21,Haute-Provence Observatory
590,HD 197037 b,Radial Velocity,0.79000,,33.00,2019-01-31,McDonald Observatory
591,HD 19994 b,Radial Velocity,1.37000,,22.54,2014-05-14,La Silla Observatory
592,HD 20003 b,Radial Velocity,0.03670,,43.80,2019-02-07,La Silla Observatory
593,HD 20003 c,Radial Velocity,0.04540,,43.80,2019-02-07,La Silla Observatory
594,HD 200964 b,Radial Velocity,1.59900,,72.74,2018-12-06,Lick Observatory
595,HD 200964 c,Radial Velocity,1.21400,,72.74,2018-12-06,Lick Observatory
596,HD 202206 c,Radial Velocity,17.90000,,46.03,2018-05-24,La Silla Observatory
597,HD 202696 b,Radial Velocity,1.99600,,189.56,2019-01-17,W. M. Keck Observatory
598,HD 202696 c,Radial Velocity,1.86400,,189.56,2019-01-17,W. M. Keck Observatory
599,HD 202772 A b,Transit,1.01700,1.545,147.20,2019-01-31,Transiting Exoplanet Survey Satellite (TESS)
600,HD 203030 b,Imaging,24.09000,,39.29,2014-05-14,Palomar Observatory
601,HD 203473 b,Radial Velocity,7.80000,,72.79,2018-09-27,W. M. Keck Observatory
602,HD 2039 b,Radial Velocity,6.29000,,85.90,2018-09-06,Anglo-Australian Telescope
603,HD 204313 b,Radial Velocity,3.46000,,47.86,2018-09-06,La Silla Observatory
604,HD 204313 c,Radial Velocity,0.05530,,47.86,2015-11-19,La Silla Observatory
605,HD 204941 b,Radial Velocity,0.23000,,28.74,2018-09-06,La Silla Observatory
606,HD 205739 b,Radial Velocity,1.37000,,92.74,2014-09-25,Las Campanas Observatory
607,HD 206255 b,Radial Velocity,0.10760,,75.40,2019-05-23,Las Campanas Observatory
608,HD 206610 b,Radial Velocity,2.03600,,147.78,2018-12-06,W. M. Keck Observatory
609,HD 20781 b,Radial Velocity,0.00610,,35.37,2019-02-07,La Silla Observatory
610,HD 20781 c,Radial Velocity,0.01680,,35.37,2019-02-07,La Silla Observatory
611,HD 20781 d,Radial Velocity,0.03340,,35.37,2019-02-07,La Silla Observatory
612,HD 20781 e,Radial Velocity,0.04420,,35.37,2019-02-07,La Silla Observatory
613,HD 20782 b,Radial Velocity,1.48780,,36.02,2019-02-07,Anglo-Australian Telescope
614,HD 207832 b,Radial Velocity,0.56000,,59.03,2018-09-27,W. M. Keck Observatory
615,HD 207832 c,Radial Velocity,0.73000,,59.03,2015-09-10,W. M. Keck Observatory
616,HD 20794 b,Radial Velocity,0.00850,,6.00,2015-08-27,La Silla Observatory
617,HD 20794 c,Radial Velocity,0.00760,,6.00,2015-08-27,La Silla Observatory
618,HD 20794 d,Radial Velocity,0.01500,,6.00,2015-08-27,La Silla Observatory
619,HD 20794 e,Radial Velocity,0.01501,,6.00,2017-06-08,La Silla Observatory
620,HD 208487 b,Radial Velocity,0.52000,,44.00,2014-11-05,Anglo-Australian Telescope
621,HD 208527 b,Radial Velocity,9.90000,,314.48,2014-05-14,Bohyunsan Optical Astronomical Observatory
622,HD 20868 b,Radial Velocity,1.25000,,47.79,2018-09-06,La Silla Observatory
623,HD 208897 b,Radial Velocity,1.40000,,64.68,2017-09-28,Multiple Observatories
624,HD 209458 b,Radial Velocity,0.73000,1.390,48.37,2018-12-06,W. M. Keck Observatory
625,HD 210193 b,Radial Velocity,0.48170,,42.25,2019-05-23,Las Campanas Observatory
626,HD 210277 b,Radial Velocity,1.29000,,21.31,2018-09-06,W. M. Keck Observatory
627,HD 210702 b,Radial Velocity,1.80800,,54.28,2018-12-06,Lick Observatory
628,HD 211810 b,Radial Velocity,0.67000,,64.76,2018-09-27,W. M. Keck Observatory
629,HD 211970 b,Radial Velocity,0.04090,,13.00,2019-05-23,Las Campanas Observatory
630,HD 212301 b,Radial Velocity,0.51000,,54.32,2018-09-06,La Silla Observatory
631,HD 212771 b,Radial Velocity,2.39000,,111.51,2018-12-06,W. M. Keck Observatory
632,HD 213240 b,Radial Velocity,5.58000,,40.92,2018-09-06,La Silla Observatory
633,HD 21411 b,Radial Velocity,0.20734,,29.16,2019-05-23,Las Campanas Observatory
634,HD 214823 b,Radial Velocity,20.30000,,101.66,2018-09-27,Haute-Provence Observatory
